brightness_k,frp_mw,firms_confidence_pct,daynight,observation_count_7d,persistence_hours_7d,frp_trend_pct,industrial_proximity_km,refinery_proximity_km,mine_proximity_km,forest_proximity_km,cropland_proximity_km,population_5km,land_cover,label
351.8,25.8,94,1,8,75.46,23.02,1.68,2.74,28.38,56.51,42.3,1699,Bare Land,Industrial Fire
367.0,11.57,94,1,5,32.46,27.19,1.37,4.83,7.59,49.16,47.5,619,Industrial,Industrial Fire
352.79,20.8,82,1,9,13.11,31.01,0.82,2.87,9.74,71.24,28.16,9903,Industrial,Industrial Fire
363.51,134.19,89,1,5,16.52,35.08,0.5,6.76,37.95,50.67,49.26,835,Bare Land,Industrial Fire
357.35,130.24,90,1,8,83.49,27.99,1.98,1.36,15.27,78.23,9.91,6355,Built-up,Industrial Fire
341.21,9.21,85,1,3,37.42,21.62,0.8,5.6,10.97,61.73,26.17,3966,Industrial,Industrial Fire
346.0,9.2,91,1,11,41.78,16.88,1.2,5.55,16.64,38.21,49.69,996,Built-up,Industrial Fire
367.0,10.73,96,1,9,8.15,19.97,1.9,2.58,14.84,73.67,29.18,279,Industrial,Industrial Fire
352.41,21.81,93,1,10,43.99,30.68,1.64,4.58,6.08,55.92,41.71,10059,Industrial,Industrial Fire
346.48,41.75,99,1,6,82.64,40.8,1.47,3.11,25.78,19.95,52.83,7541,Bare Land,Industrial Fire
364.04,91.73,92,1,10,8.95,41.63,1.84,0.89,8.3,30.77,33.39,3125,Built-up,Industrial Fire
367.0,82.18,87,1,4,38.03,22.71,1.67,0.85,14.44,38.71,27.33,2873,Bare Land,Industrial Fire
354.75,130.57,92,1,10,33.57,31.48,1.69,5.97,34.98,61.1,17.35,209,Built-up,Industrial Fire
336.99,38.66,73,1,5,69.05,33.15,0.33,1.05,14.64,73.83,44.1,1961,Bare Land,Industrial Fire
364.95,114.61,96,1,3,24.26,36.44,1.23,2.55,27.34,71.15,25.61,4059,Industrial,Industrial Fire
363.19,81.78,89,1,4,25.84,33.36,2.3,0.91,24.82,49.04,11.92,270,Industrial,Industrial Fire
336.27,87.21,95,1,6,47.97,20.76,2.29,5.63,8.62,42.86,8.23,1864,Built-up,Industrial Fire
348.38,182.67,100,1,6,48.44,28.31,0.94,7.23,30.21,76.0,56.66,1082,Industrial,Industrial Fire
367.0,66.53,88,1,5,33.6,18.76,2.18,7.33,7.6,51.63,36.17,10963,Industrial,Industrial Fire
350.57,25.95,93,1,5,84.12,21.51,1.37,6.2,37.71,29.93,10.05,3687,Industrial,Industrial Fire
356.37,14.88,94,1,8,26.81,17.09,1.4,7.1,26.83,60.15,55.58,1744,Industrial,Industrial Fire
361.6,119.51,89,1,7,14.88,18.01,1.12,3.5,13.14,74.39,50.62,1824,Industrial,Industrial Fire
353.53,61.08,88,1,5,18.15,17.74,0.22,5.65,22.86,64.05,29.91,1462,Industrial,Industrial Fire
350.9,261.85,86,1,3,43.1,25.02,2.36,2.04,16.26,18.23,36.86,4770,Built-up,Industrial Fire
335.39,122.1,90,1,9,20.75,22.55,2.0,7.2,37.99,53.97,30.62,15556,Built-up,Industrial Fire
335.31,58.26,92,1,7,62.81,31.78,0.27,6.61,6.92,38.52,34.9,1014,Industrial,Industrial Fire
334.9,53.38,97,1,8,37.36,38.49,0.28,5.15,32.89,51.18,10.66,3743,Built-up,Industrial Fire
338.56,18.1,100,1,10,81.91,48.23,0.63,4.47,34.93,37.51,16.98,1520,Built-up,Industrial Fire
332.43,57.49,97,1,10,42.95,38.21,1.97,6.81,18.49,43.46,20.49,23991,Bare Land,Industrial Fire
322.75,7.02,86,0,7,74.64,32.58,0.25,1.62,38.92,78.73,11.02,8323,Industrial,Industrial Fire
347.66,95.37,91,1,9,63.25,40.53,1.04,4.25,18.7,39.6,39.28,16943,Built-up,Industrial Fire
343.26,62.87,87,1,8,23.42,54.75,1.16,4.37,23.86,35.77,43.64,2144,Industrial,Industrial Fire
364.64,27.35,86,0,3,77.13,36.55,2.4,5.97,21.44,52.41,21.31,416,Bare Land,Industrial Fire
367.0,65.93,84,1,9,14.97,17.26,0.23,4.94,8.1,32.75,45.29,4023,Bare Land,Industrial Fire
323.04,32.11,100,1,6,19.46,27.83,1.96,4.3,32.61,35.4,38.62,1948,Built-up,Industrial Fire
367.0,271.04,87,1,6,17.79,24.12,2.38,0.86,25.18,61.38,57.62,2922,Bare Land,Industrial Fire
353.3,130.16,97,1,5,9.83,30.28,1.58,4.0,9.9,20.35,22.86,3029,Industrial,Industrial Fire
367.0,51.67,84,1,4,25.89,26.68,1.15,2.65,32.75,71.35,47.96,1974,Bare Land,Industrial Fire
350.16,137.41,99,1,6,81.79,21.7,0.38,5.18,22.02,17.49,17.87,5253,Bare Land,Industrial Fire
367.0,101.88,91,1,4,14.01,27.26,2.16,6.64,37.45,75.91,52.78,457,Industrial,Industrial Fire
350.58,20.09,82,1,7,50.0,51.93,1.25,6.28,11.81,48.76,8.47,1986,Built-up,Industrial Fire
302.04,82.52,77,0,7,17.62,20.29,0.6,4.86,29.9,55.94,8.57,724,Bare Land,Industrial Fire
367.0,61.8,95,1,3,51.5,0.9,1.01,0.7,38.38,78.25,32.76,450,Bare Land,Industrial Fire
336.61,256.51,93,1,6,32.21,30.77,1.85,4.07,12.55,43.89,44.13,1494,Industrial,Industrial Fire
356.35,176.13,93,1,7,25.74,9.62,2.3,5.17,5.7,79.85,17.51,1947,Bare Land,Industrial Fire
353.68,36.77,87,1,4,85.01,-11.05,0.58,3.42,18.68,53.74,53.64,880,Industrial,Industrial Fire
367.0,22.39,82,1,10,67.74,26.85,1.47,7.99,5.91,73.51,59.57,1060,Industrial,Industrial Fire
356.41,205.2,100,1,9,66.83,23.18,1.23,3.49,9.15,59.39,21.02,5620,Bare Land,Industrial Fire
353.0,165.86,82,1,10,67.51,40.18,0.21,6.78,23.54,59.14,42.09,835,Built-up,Industrial Fire
354.2,38.27,95,1,8,72.86,20.42,1.45,0.84,10.54,40.08,54.06,1204,Built-up,Industrial Fire
337.2,30.92,93,1,10,70.53,21.46,2.26,3.89,30.94,49.35,52.05,487,Industrial,Industrial Fire
364.15,9.49,89,1,4,23.72,26.14,2.29,3.13,36.92,57.91,59.49,5219,Industrial,Industrial Fire
366.06,87.53,80,0,10,27.58,26.1,2.42,2.59,34.25,42.65,49.66,3105,Bare Land,Industrial Fire
367.0,208.4,94,1,4,47.92,35.45,0.39,6.39,15.76,21.77,56.39,2110,Built-up,Industrial Fire
355.49,8.74,94,1,10,23.7,26.19,1.67,0.59,14.7,50.07,19.98,748,Built-up,Industrial Fire
336.51,20.47,83,1,4,33.34,35.02,0.33,7.22,34.2,69.09,10.68,5167,Bare Land,Industrial Fire
348.49,55.14,96,1,10,40.51,16.35,0.46,6.0,21.83,41.96,45.15,5635,Bare Land,Industrial Fire
367.0,90.53,99,1,7,55.24,33.91,0.26,2.38,13.71,18.08,11.03,3202,Bare Land,Industrial Fire
353.78,58.01,85,1,10,46.01,8.85,1.11,4.91,19.29,16.02,54.62,3486,Industrial,Industrial Fire
367.0,121.04,75,1,5,37.03,1.31,0.65,5.51,39.22,72.64,18.0,1966,Bare Land,Industrial Fire
351.35,8.55,80,1,9,88.83,17.77,2.38,2.62,15.6,67.21,35.21,1526,Bare Land,Industrial Fire
354.68,39.07,94,1,4,89.88,23.11,1.15,3.8,31.78,76.36,38.88,3950,Bare Land,Industrial Fire
364.89,12.89,93,1,3,9.93,27.06,1.62,5.09,14.84,51.39,45.15,2779,Industrial,Industrial Fire
330.91,57.55,82,1,8,34.63,30.8,2.27,3.15,30.86,52.08,8.4,862,Built-up,Industrial Fire
319.8,35.66,86,1,10,86.76,27.77,1.42,2.18,30.89,20.91,24.51,988,Built-up,Industrial Fire
348.73,31.65,100,1,5,75.58,21.9,1.94,4.43,23.63,34.87,35.15,589,Built-up,Industrial Fire
348.53,25.77,95,1,10,59.1,28.74,2.47,4.46,9.4,62.87,44.69,459,Industrial,Industrial Fire
367.0,10.01,88,1,10,33.05,39.44,2.26,3.49,13.08,52.38,33.8,2003,Built-up,Industrial Fire
328.76,57.51,94,1,4,86.14,50.06,1.37,6.68,5.63,34.7,21.22,3055,Industrial,Industrial Fire
367.0,19.21,94,1,5,56.29,2.05,1.45,7.81,37.01,38.03,19.03,2876,Built-up,Industrial Fire
357.28,19.2,78,1,10,52.82,36.83,2.02,4.73,19.2,57.96,58.68,5456,Industrial,Industrial Fire
359.85,32.73,86,1,9,11.33,10.84,0.69,2.67,17.69,52.24,41.73,1103,Bare Land,Industrial Fire
355.45,83.23,95,1,9,58.43,14.71,0.58,0.75,9.44,23.77,25.24,2426,Built-up,Industrial Fire
367.0,10.97,86,1,4,22.53,37.87,2.25,4.1,28.27,22.78,56.6,490,Bare Land,Industrial Fire
328.79,56.65,87,1,11,83.42,19.55,2.12,4.68,17.12,59.22,50.2,493,Bare Land,Industrial Fire
335.05,20.47,98,1,5,16.25,49.58,2.47,0.6,7.79,32.52,53.8,9310,Bare Land,Industrial Fire
366.99,57.55,93,1,9,32.04,13.2,1.67,1.8,37.47,62.71,44.48,2452,Bare Land,Industrial Fire
355.48,25.9,75,1,4,71.1,40.95,0.72,3.59,19.2,19.11,52.2,8416,Bare Land,Industrial Fire
367.0,24.16,83,1,11,64.3,37.68,1.03,5.35,18.47,41.25,46.86,265,Bare Land,Industrial Fire
348.01,61.53,100,1,10,71.46,2.05,2.41,2.34,32.3,56.37,39.97,3236,Industrial,Industrial Fire
354.85,27.18,98,1,10,9.33,5.62,0.71,5.01,18.29,23.86,42.62,993,Bare Land,Industrial Fire
349.98,67.15,78,1,5,68.55,37.42,2.16,6.91,35.32,28.09,29.36,3156,Built-up,Industrial Fire
359.05,21.23,83,1,11,63.22,30.46,1.26,1.07,16.15,28.19,11.5,633,Bare Land,Industrial Fire
350.51,76.38,94,1,6,25.66,30.26,1.28,3.33,29.16,68.73,48.35,2812,Built-up,Industrial Fire
357.33,73.56,90,1,7,12.1,39.23,1.81,7.48,18.49,64.76,12.28,1907,Bare Land,Industrial Fire
363.07,12.35,90,1,9,66.12,31.61,1.05,2.9,23.69,24.38,26.83,961,Industrial,Industrial Fire
364.67,13.97,95,1,8,73.87,26.22,1.78,3.5,14.93,27.4,22.41,919,Industrial,Industrial Fire
355.17,48.68,80,1,6,83.83,49.35,1.73,3.67,29.42,39.84,35.8,1744,Industrial,Industrial Fire
343.67,15.03,82,1,3,72.68,19.53,2.04,3.49,27.3,78.72,28.24,2384,Industrial,Industrial Fire
338.82,65.96,83,1,5,41.98,24.63,1.5,2.21,12.87,68.48,13.62,1160,Built-up,Industrial Fire
367.0,47.65,96,1,6,81.96,28.23,0.74,2.69,25.42,76.9,10.85,4586,Bare Land,Industrial Fire
355.17,17.92,92,1,4,12.36,34.55,0.66,3.38,20.8,58.3,14.79,3367,Bare Land,Industrial Fire
351.28,8.55,79,1,4,78.77,32.73,1.43,6.2,7.09,22.6,38.77,17786,Built-up,Industrial Fire
360.36,11.92,85,1,8,85.02,13.45,2.26,4.84,19.36,53.22,12.52,7873,Bare Land,Industrial Fire
364.55,138.32,100,1,7,79.54,37.32,0.82,4.31,6.64,66.55,42.77,8082,Built-up,Industrial Fire
365.36,13.1,96,1,4,66.05,35.2,0.72,1.12,6.55,70.22,25.69,1848,Bare Land,Industrial Fire
367.0,13.61,99,1,6,84.75,39.29,1.62,4.77,25.96,76.3,44.7,1801,Bare Land,Industrial Fire
367.0,75.64,92,1,4,55.63,12.67,0.86,1.92,33.25,68.61,39.1,1821,Built-up,Industrial Fire
336.68,42.27,79,1,10,59.63,35.93,1.11,0.88,8.78,24.62,33.45,690,Bare Land,Industrial Fire
347.03,39.53,90,1,8,88.71,20.5,0.31,3.38,31.68,20.3,47.6,1064,Bare Land,Industrial Fire
360.88,178.81,100,1,7,53.39,36.57,1.09,5.7,26.2,61.32,57.29,290,Bare Land,Industrial Fire
367.0,27.0,92,1,5,85.44,31.78,0.71,4.73,19.98,23.45,19.31,1183,Industrial,Industrial Fire
367.0,73.18,79,1,4,62.79,33.89,0.9,4.97,23.09,25.16,25.67,2753,Bare Land,Industrial Fire
345.91,44.2,85,1,6,28.66,42.6,0.92,5.27,20.76,55.07,17.51,8240,Bare Land,Industrial Fire
335.63,10.5,97,1,8,57.22,17.72,2.25,3.01,25.37,55.58,17.94,392,Built-up,Industrial Fire
355.97,127.71,100,1,10,77.12,39.12,0.62,5.19,19.59,19.54,59.77,12862,Built-up,Industrial Fire
343.23,51.84,92,1,5,8.67,3.75,0.62,2.52,26.45,54.42,24.9,3791,Built-up,Industrial Fire
325.12,74.91,89,1,6,34.45,52.44,1.64,2.99,28.7,37.75,39.07,6204,Industrial,Industrial Fire
348.46,62.68,82,1,6,78.4,0.55,2.3,5.96,37.01,43.58,50.64,1942,Built-up,Industrial Fire
342.83,25.08,86,1,9,77.16,23.53,0.25,3.93,25.36,57.25,33.93,476,Bare Land,Industrial Fire
367.0,43.39,83,1,10,42.84,49.56,1.03,6.67,36.0,19.91,22.18,370,Built-up,Industrial Fire
351.44,112.59,85,1,8,42.39,17.35,1.76,2.54,17.94,22.86,17.76,294,Bare Land,Industrial Fire
367.0,481.82,86,1,8,39.3,26.65,0.51,1.32,22.09,64.04,45.74,1118,Bare Land,Industrial Fire
351.75,84.91,93,1,8,50.74,46.22,0.56,5.37,9.3,53.9,35.19,1167,Bare Land,Industrial Fire
334.7,18.17,80,1,9,32.91,4.74,2.05,7.29,6.16,60.19,32.28,456,Industrial,Industrial Fire
358.48,36.67,92,1,3,20.16,18.64,2.2,1.12,8.12,65.19,29.42,2905,Bare Land,Industrial Fire
353.76,55.86,80,0,10,19.22,18.09,2.35,5.62,27.61,64.78,46.65,646,Bare Land,Industrial Fire
336.71,74.05,92,1,5,76.47,13.7,0.26,7.84,36.13,49.85,35.46,2802,Built-up,Industrial Fire
333.89,121.28,98,1,6,74.11,27.6,0.71,5.3,34.97,41.02,56.5,1379,Bare Land,Industrial Fire
359.45,68.71,93,1,3,78.77,5.83,2.07,4.47,21.71,20.08,32.7,2539,Built-up,Industrial Fire
342.92,27.01,100,1,6,75.63,33.0,1.64,2.56,29.71,41.39,30.15,1869,Bare Land,Industrial Fire
332.79,58.47,95,1,8,57.6,10.51,1.94,3.3,29.82,54.35,18.11,4904,Built-up,Industrial Fire
341.45,16.87,94,1,9,72.54,39.66,1.65,5.31,26.41,76.8,39.83,527,Industrial,Industrial Fire
347.17,35.01,88,1,8,84.62,26.31,1.43,7.32,28.48,28.5,54.45,6673,Industrial,Industrial Fire
328.75,108.39,89,1,6,30.77,-1.49,1.09,5.52,18.49,48.17,9.63,4226,Industrial,Industrial Fire
357.23,6.71,83,1,3,41.7,57.92,1.09,4.17,23.96,50.6,46.39,3143,Industrial,Industrial Fire
367.0,27.85,93,1,4,46.93,16.96,0.65,6.2,27.45,46.78,32.29,5031,Bare Land,Industrial Fire
366.24,8.26,94,1,11,25.37,52.73,1.32,3.62,8.64,45.65,34.34,2642,Built-up,Industrial Fire
367.0,29.75,92,1,8,12.25,6.5,0.61,6.25,17.97,64.73,47.7,169,Bare Land,Industrial Fire
359.99,306.49,85,1,6,51.92,29.65,1.03,0.61,30.62,39.46,24.33,633,Built-up,Industrial Fire
320.87,70.4,98,1,8,55.77,28.82,1.61,3.42,6.77,73.44,10.08,1857,Industrial,Industrial Fire
356.9,38.49,96,1,11,35.06,25.55,0.72,6.87,9.21,17.65,51.43,762,Industrial,Industrial Fire
366.71,12.81,93,1,5,81.74,37.22,2.28,2.16,21.14,22.44,28.9,4098,Industrial,Industrial Fire
334.96,52.24,98,1,7,73.21,30.86,2.48,6.92,9.75,47.37,9.99,2769,Bare Land,Industrial Fire
366.41,121.52,87,1,9,62.68,29.09,2.3,2.55,35.5,44.39,49.07,500,Bare Land,Industrial Fire
331.79,9.1,92,1,6,22.86,31.09,2.15,6.37,13.48,29.68,59.67,3410,Built-up,Industrial Fire
350.65,24.99,100,1,6,63.9,-1.07,2.41,3.62,10.3,69.71,31.49,1992,Built-up,Industrial Fire
363.03,41.98,90,1,3,13.75,45.99,2.06,1.19,30.35,30.14,49.6,1433,Bare Land,Industrial Fire
326.06,136.91,87,1,7,67.67,12.93,2.42,5.04,31.54,29.88,20.69,2754,Industrial,Industrial Fire
341.77,40.29,100,1,7,39.07,48.7,1.01,4.43,33.69,35.56,37.93,1533,Industrial,Industrial Fire
367.0,645.17,100,1,8,68.28,13.83,2.46,4.74,12.26,73.25,34.82,1341,Industrial,Industrial Fire
367.0,49.84,82,1,6,15.87,12.64,0.44,2.55,9.8,75.32,48.6,2198,Bare Land,Industrial Fire
367.0,82.26,89,1,5,41.85,29.33,0.26,4.34,32.98,63.69,15.54,2905,Bare Land,Industrial Fire
367.0,3.43,82,1,4,64.13,37.8,0.21,4.51,27.42,33.12,40.56,4657,Bare Land,Industrial Fire
358.66,80.9,82,1,10,30.2,0.61,0.69,3.17,37.48,77.2,32.77,2507,Built-up,Industrial Fire
352.29,27.72,83,1,6,49.75,38.65,0.4,0.66,28.94,67.09,8.73,1450,Industrial,Industrial Fire
350.53,62.78,84,1,6,63.38,26.49,0.63,2.07,7.48,43.12,18.98,3019,Industrial,Industrial Fire
359.22,20.34,76,1,6,67.11,9.0,2.17,1.79,17.45,67.46,56.69,734,Built-up,Industrial Fire
353.91,11.9,82,1,7,48.93,29.9,0.31,2.74,17.19,69.66,14.08,343,Built-up,Industrial Fire
354.99,19.74,97,1,8,64.25,21.13,2.19,6.95,24.17,58.41,12.25,1110,Built-up,Industrial Fire
344.37,90.67,84,1,6,32.71,18.8,0.86,6.07,27.1,68.44,49.32,7065,Built-up,Industrial Fire
367.0,24.15,86,1,7,19.85,23.46,2.25,4.39,17.15,64.29,40.93,1365,Industrial,Industrial Fire
361.0,341.3,96,1,7,8.66,15.8,0.79,5.71,6.42,51.58,57.29,1056,Bare Land,Industrial Fire
367.0,69.52,74,1,4,71.69,53.48,0.83,1.94,22.22,32.35,36.94,1559,Bare Land,Industrial Fire
362.49,28.95,98,1,5,27.66,22.31,1.8,4.56,16.31,22.61,30.66,1429,Bare Land,Industrial Fire
362.23,321.81,92,1,8,48.54,15.37,2.19,1.85,17.02,63.92,22.26,1846,Industrial,Industrial Fire
346.88,29.72,82,1,4,34.62,28.76,1.51,0.55,25.32,76.63,25.89,201,Industrial,Industrial Fire
367.0,209.21,93,1,5,8.81,29.8,0.32,1.4,27.8,49.06,49.69,4011,Industrial,Industrial Fire
356.85,36.51,97,1,6,49.77,7.31,1.84,1.37,21.0,67.94,32.08,481,Industrial,Industrial Fire
337.82,31.64,89,1,10,24.97,32.12,0.27,5.15,37.4,62.73,57.62,645,Industrial,Industrial Fire
367.0,4.67,88,1,6,79.76,9.68,1.2,7.02,33.34,47.28,26.39,3264,Built-up,Industrial Fire
339.48,9.65,84,1,11,55.97,17.38,1.49,7.46,10.61,15.62,48.55,3467,Bare Land,Industrial Fire
327.45,113.64,95,1,4,39.4,16.94,1.73,5.78,5.64,69.48,13.56,859,Industrial,Industrial Fire
367.0,18.81,93,1,4,32.55,19.09,2.02,5.41,33.45,59.29,56.75,485,Industrial,Industrial Fire
367.0,9.89,79,1,9,62.3,26.86,2.45,5.4,10.84,43.09,44.09,664,Industrial,Industrial Fire
367.0,17.36,90,1,5,9.78,40.38,0.71,1.46,11.24,79.92,31.93,840,Industrial,Industrial Fire
362.67,77.22,93,1,5,47.15,37.95,1.26,6.93,9.46,45.16,9.51,7547,Bare Land,Industrial Fire
340.66,75.6,91,1,4,82.55,28.64,2.05,5.41,15.24,63.2,30.73,5043,Bare Land,Industrial Fire
367.0,7.67,78,1,10,41.71,23.79,1.09,6.38,15.91,74.59,19.04,7424,Built-up,Industrial Fire
330.67,145.97,91,1,5,68.92,38.31,0.27,3.47,16.55,33.15,50.42,998,Bare Land,Industrial Fire
336.43,147.33,99,1,6,38.25,41.46,0.88,7.44,11.71,65.09,15.43,2780,Built-up,Industrial Fire
367.0,81.42,84,1,7,51.32,45.91,1.46,7.17,23.42,38.44,13.41,2683,Industrial,Industrial Fire
367.0,13.63,92,1,3,33.56,24.18,0.2,1.16,25.62,34.42,13.45,395,Built-up,Industrial Fire
354.07,68.8,73,1,7,35.42,46.35,1.92,1.05,39.1,33.49,16.61,3129,Built-up,Industrial Fire
362.34,34.36,98,1,7,42.69,27.79,0.67,4.72,31.89,34.86,27.76,3971,Built-up,Industrial Fire
367.0,132.79,84,1,5,46.3,35.03,0.29,1.93,39.21,24.61,15.04,440,Industrial,Industrial Fire
367.0,57.76,92,1,10,54.06,27.93,1.74,3.07,15.61,50.04,30.18,12911,Bare Land,Industrial Fire
353.81,31.45,79,1,4,68.99,39.78,1.33,1.94,37.56,78.07,11.05,430,Bare Land,Industrial Fire
352.38,91.06,96,1,4,66.67,29.52,0.24,6.46,30.36,49.55,51.72,4684,Built-up,Industrial Fire
346.64,560.49,98,1,4,89.22,49.59,1.79,3.13,14.81,27.24,26.11,3485,Bare Land,Industrial Fire
